lead_id,lead_stage,event_id,event_type,event_timestamp,event_outcome,days_since_last_contact,days_since_creation,total_emails_sent,total_calls_made,total_meetings,last_email_sentiment,response_rate,next_action_taken
L650,Proposal,E650,Email,2023-01-28 02:00:00,Replied,3,119,22,1,4,Positive,0.82,Call
L651,New,E651,Call,2023-01-28 03:00:00,Replied,7,60,14,7,6,Negative,0.73,Email
L652,Qualified,E652,Meeting,2023-01-28 04:00:00,Replied,8,67,0,0,5,Negative,0.85,Close
L653,Proposal,E653,Demo,2023-01-28 05:00:00,No-show,2,65,24,16,0,Positive,0.17,Call
L654,Proposal,E654,Call,2023-01-28 06:00:00,No-show,4,116,12,18,5,Positive,0.22,Call
L655,Qualified,E655,Email,2023-01-28 07:00:00,Opened,10,61,22,4,6,Neutral,0.49,Email
L656,Qualified,E656,Demo,2023-01-28 08:00:00,Opened,14,118,5,19,3,Neutral,0.85,Email
L657,Proposal,E657,Email,2023-01-28 09:00:00,Replied,7,19,12,15,7,Positive,0.2,Email
L658,Proposal,E658,Meeting,2023-01-28 10:00:00,No-show,2,46,17,6,7,Negative,0.97,Email
L659,Qualified,E659,Call,2023-01-28 11:00:00,Replied,6,49,2,6,6,Neutral,0.13,Close
L660,Proposal,E660,Meeting,2023-01-28 12:00:00,Replied,10,22,0,17,1,Positive,0.18,Close
L661,New,E661,Call,2023-01-28 13:00:00,No-show,7,78,14,17,5,Neutral,0.17,Close
L662,New,E662,Email,2023-01-28 14:00:00,No-show,9,113,25,1,5,Neutral,0.59,Wait
L663,Qualified,E663,Meeting,2023-01-28 15:00:00,No-show,10,57,12,14,6,Neutral,0.92,Email
L664,Qualified,E664,Meeting,2023-01-28 16:00:00,Opened,13,14,4,13,5,Negative,0.26,Email
L665,Qualified,E665,Email,2023-01-28 17:00:00,Opened,2,44,24,17,1,Positive,0.55,Close
L666,New,E666,Meeting,2023-01-28 18:00:00,Replied,1,16,12,8,7,Negative,0.18,Call
L667,Proposal,E667,Demo,2023-01-28 19:00:00,Opened,9,97,21,13,3,Negative,0.63,Call
L668,New,E668,Call,2023-01-28 20:00:00,No-show,12,77,4,4,8,Neutral,0.12,Email
L669,Proposal,E669,Call,2023-01-28 21:00:00,No-show,6,102,27,10,7,Positive,0.49,Email
L670,New,E670,Call,2023-01-28 22:00:00,Opened,11,113,18,7,2,Neutral,0.66,Close
L671,Proposal,E671,Demo,2023-01-28 23:00:00,Replied,8,12,20,4,2,Negative,0.58,Email
L672,New,E672,Call,2023-01-29 00:00:00,Replied,0,55,23,10,7,Negative,0.14,Call
L673,Qualified,E673,Email,2023-01-29 01:00:00,Opened,2,51,27,4,1,Positive,0.16,Call
L674,New,E674,Meeting,2023-01-29 02:00:00,Replied,4,102,17,16,8,Negative,0.67,Email
L675,Proposal,E675,Demo,2023-01-29 03:00:00,Replied,2,39,20,3,3,Negative,0.81,Close
L676,New,E676,Call,2023-01-29 04:00:00,Replied,0,33,21,14,5,Positive,0.91,Close
L677,New,E677,Email,2023-01-29 05:00:00,No-show,14,33,9,18,2,Neutral,0.81,Call
L678,New,E678,Meeting,2023-01-29 06:00:00,No-show,6,29,23,1,2,Positive,0.97,Close
L679,Qualified,E679,Meeting,2023-01-29 07:00:00,Opened,6,69,7,16,2,Negative,0.41,Call
L680,New,E680,Demo,2023-01-29 08:00:00,No-show,9,70,14,11,9,Positive,0.33,Email
L681,Qualified,E681,Demo,2023-01-29 09:00:00,Replied,11,31,20,16,1,Neutral,0.03,Call
L682,Qualified,E682,Demo,2023-01-29 10:00:00,No-show,7,80,24,9,7,Negative,0.45,Email
L683,New,E683,Email,2023-01-29 11:00:00,Opened,4,31,19,17,8,Neutral,0.65,Close
L684,New,E684,Email,2023-01-29 12:00:00,No-show,9,89,27,18,7,Neutral,0.82,Wait
L685,New,E685,Demo,2023-01-29 13:00:00,Replied,11,112,24,17,9,Positive,0.27,Wait
L686,Proposal,E686,Call,2023-01-29 14:00:00,Replied,4,46,26,12,2,Neutral,0.51,Wait
L687,New,E687,Meeting,2023-01-29 15:00:00,Opened,4,97,22,13,6,Positive,0.66,Call
L688,Qualified,E688,Meeting,2023-01-29 16:00:00,No-show,0,77,21,15,9,Positive,0.55,Wait
L689,New,E689,Email,2023-01-29 17:00:00,No-show,9,52,3,17,1,Neutral,0.27,Call
L690,Proposal,E690,Meeting,2023-01-29 18:00:00,No-show,4,10,1,17,3,Positive,0.8,Close
L691,New,E691,Call,2023-01-29 19:00:00,Replied,5,88,23,15,5,Positive,0.17,Email
L692,Proposal,E692,Meeting,2023-01-29 20:00:00,Opened,14,74,5,16,4,Neutral,0.9,Wait
L693,Proposal,E693,Email,2023-01-29 21:00:00,No-show,12,41,27,6,8,Negative,0.95,Call
L694,New,E694,Email,2023-01-29 22:00:00,Replied,11,95,2,11,9,Positive,0.37,Close
L695,Qualified,E695,Call,2023-01-29 23:00:00,Replied,0,77,6,1,3,Positive,0.38,Close
L696,Proposal,E696,Call,2023-01-30 00:00:00,Replied,10,3,9,9,4,Neutral,0.74,Wait
L697,New,E697,Meeting,2023-01-30 01:00:00,No-show,6,59,22,4,3,Positive,0.46,Close
L698,New,E698,Meeting,2023-01-30 02:00:00,No-show,0,114,5,2,7,Neutral,0.03,Close
L699,Qualified,E699,Email,2023-01-30 03:00:00,No-show,10,52,15,18,7,Negative,0.92,Close
L700,Proposal,E700,Call,2023-01-30 04:00:00,No-show,1,34,1,12,2,Negative,0.43,Call
L701,Proposal,E701,Call,2023-01-30 05:00:00,No-show,1,49,23,11,0,Neutral,0.2,Close
L702,New,E702,Call,2023-01-30 06:00:00,No-show,4,28,16,2,5,Negative,0.56,Close
L703,New,E703,Meeting,2023-01-30 07:00:00,No-show,13,83,12,5,1,Neutral,0.22,Close
L704,Qualified,E704,Call,2023-01-30 08:00:00,No-show,9,87,0,13,1,Positive,0.21,Close
L705,Qualified,E705,Email,2023-01-30 09:00:00,No-show,12,109,5,3,2,Negative,0.55,Close
L706,Proposal,E706,Email,2023-01-30 10:00:00,Replied,6,96,4,12,7,Positive,0.39,Call
L707,Proposal,E707,Meeting,2023-01-30 11:00:00,No-show,0,13,24,18,2,Positive,0.57,Close
L708,New,E708,Demo,2023-01-30 12:00:00,Opened,9,97,12,17,6,Neutral,1.0,Close
L709,Proposal,E709,Meeting,2023-01-30 13:00:00,Replied,0,98,27,2,9,Negative,0.86,Email
L710,Qualified,E710,Demo,2023-01-30 14:00:00,No-show,0,97,22,19,9,Negative,0.01,Close
L711,Qualified,E711,Call,2023-01-30 15:00:00,Opened,5,69,17,5,8,Positive,0.05,Close
L712,New,E712,Meeting,2023-01-30 16:00:00,No-show,1,67,28,15,7,Positive,0.61,Call
L713,Qualified,E713,Email,2023-01-30 17:00:00,Opened,0,61,11,19,0,Neutral,0.63,Close
L714,Qualified,E714,Call,2023-01-30 18:00:00,Opened,5,60,6,2,6,Negative,0.88,Call
L715,Qualified,E715,Email,2023-01-30 19:00:00,Opened,13,71,14,11,6,Neutral,0.63,Wait
L716,Qualified,E716,Call,2023-01-30 20:00:00,Opened,1,24,2,18,7,Neutral,0.23,Close
L717,New,E717,Meeting,2023-01-30 21:00:00,Replied,5,63,15,18,9,Neutral,0.47,Email
L718,New,E718,Demo,2023-01-30 22:00:00,Replied,9,86,0,3,4,Negative,0.81,Call
L719,Proposal,E719,Call,2023-01-30 23:00:00,Opened,7,109,26,0,9,Neutral,0.92,Wait
L720,Qualified,E720,Demo,2023-01-31 00:00:00,No-show,1,61,15,1,8,Negative,0.24,Email
L721,Proposal,E721,Call,2023-01-31 01:00:00,Opened,10,23,23,12,8,Neutral,0.54,Call
L722,New,E722,Email,2023-01-31 02:00:00,Replied,8,30,29,12,7,Positive,0.16,Wait
L723,New,E723,Email,2023-01-31 03:00:00,No-show,7,60,11,1,5,Neutral,0.5,Email
L724,New,E724,Call,2023-01-31 04:00:00,Replied,11,18,18,18,5,Neutral,0.09,Close
L725,New,E725,Demo,2023-01-31 05:00:00,Replied,9,96,26,15,0,Negative,0.94,Email
L726,New,E726,Meeting,2023-01-31 06:00:00,No-show,0,56,7,11,5,Positive,0.64,Email
L727,New,E727,Meeting,2023-01-31 07:00:00,Opened,6,53,22,0,3,Positive,0.85,Email
L728,New,E728,Email,2023-01-31 08:00:00,Opened,13,7,11,8,3,Negative,1.0,Call
L729,Qualified,E729,Meeting,2023-01-31 09:00:00,Opened,12,97,14,16,1,Negative,0.18,Close
L730,Proposal,E730,Email,2023-01-31 10:00:00,Opened,9,69,1,9,3,Positive,0.69,Close
L731,New,E731,Meeting,2023-01-31 11:00:00,No-show,5,113,28,17,4,Negative,0.89,Call
L732,Qualified,E732,Call,2023-01-31 12:00:00,No-show,13,92,29,18,4,Positive,0.58,Email
L733,Qualified,E733,Email,2023-01-31 13:00:00,No-show,5,72,29,6,4,Neutral,0.64,Close
L734,Proposal,E734,Email,2023-01-31 14:00:00,Replied,5,79,16,18,3,Neutral,0.41,Email
L735,New,E735,Call,2023-01-31 15:00:00,No-show,5,52,6,14,0,Positive,0.67,Close
L736,Proposal,E736,Email,2023-01-31 16:00:00,Opened,9,4,12,8,9,Positive,0.4,Call
L737,New,E737,Meeting,2023-01-31 17:00:00,Replied,6,34,0,9,7,Neutral,0.48,Wait
L738,Qualified,E738,Meeting,2023-01-31 18:00:00,Opened,11,69,5,19,2,Neutral,0.1,Email
L739,Qualified,E739,Email,2023-01-31 19:00:00,Opened,2,33,12,19,1,Positive,0.01,Close
L740,Qualified,E740,Meeting,2023-01-31 20:00:00,No-show,13,69,10,3,8,Negative,0.06,Close
L741,Qualified,E741,Demo,2023-01-31 21:00:00,No-show,5,38,9,5,6,Negative,0.19,Close
L742,Proposal,E742,Email,2023-01-31 22:00:00,Opened,2,98,15,3,8,Positive,0.46,Call
L743,New,E743,Call,2023-01-31 23:00:00,Opened,6,26,26,4,1,Negative,0.02,Call
L744,New,E744,Demo,2023-02-01 00:00:00,Replied,6,1,25,8,8,Neutral,0.16,Wait
L745,Proposal,E745,Email,2023-02-01 01:00:00,No-show,7,4,23,11,9,Neutral,0.78,Call
L746,New,E746,Call,2023-02-01 02:00:00,Replied,1,39,22,7,8,Negative,0.76,Email
L747,Qualified,E747,Meeting,2023-02-01 03:00:00,Replied,8,54,19,4,8,Positive,0.79,Call
L748,New,E748,Call,2023-02-01 04:00:00,Replied,12,90,16,10,9,Neutral,0.92,Close
L749,Qualified,E749,Demo,2023-02-01 05:00:00,Opened,4,33,16,10,9,Neutral,0.12,Email
L750,Proposal,E750,Meeting,2023-02-01 06:00:00,Replied,8,33,3,12,3,Neutral,0.16,Call
L751,New,E751,Email,2023-02-01 07:00:00,Replied,9,72,4,13,9,Negative,0.33,Email
L752,Proposal,E752,Meeting,2023-02-01 08:00:00,Opened,4,20,27,7,2,Positive,0.92,Email
L753,New,E753,Email,2023-02-01 09:00:00,No-show,6,16,22,17,5,Negative,0.78,Call
L754,Qualified,E754,Email,2023-02-01 10:00:00,No-show,10,21,13,18,2,Positive,0.32,Email
L755,Proposal,E755,Call,2023-02-01 11:00:00,Replied,8,45,19,11,8,Positive,0.09,Close
L756,New,E756,Call,2023-02-01 12:00:00,Opened,14,119,9,11,2,Negative,0.62,Close
L757,Qualified,E757,Call,2023-02-01 13:00:00,No-show,3,90,13,17,1,Neutral,0.26,Call
L758,Proposal,E758,Demo,2023-02-01 14:00:00,Replied,1,87,27,9,7,Positive,0.53,Call
L759,Proposal,E759,Demo,2023-02-01 15:00:00,Replied,8,82,0,6,5,Negative,0.94,Close
L760,New,E760,Call,2023-02-01 16:00:00,Opened,12,62,10,17,7,Neutral,0.57,Call
L761,New,E761,Demo,2023-02-01 17:00:00,Replied,1,31,25,11,6,Positive,0.92,Close
L762,New,E762,Meeting,2023-02-01 18:00:00,No-show,2,116,22,13,2,Positive,0.39,Email
L763,Qualified,E763,Meeting,2023-02-01 19:00:00,Opened,9,42,17,14,7,Neutral,0.63,Call
L764,New,E764,Demo,2023-02-01 20:00:00,No-show,1,12,15,15,9,Positive,0.89,Wait
L765,Proposal,E765,Demo,2023-02-01 21:00:00,No-show,2,65,28,1,0,Negative,0.59,Close
L766,Proposal,E766,Meeting,2023-02-01 22:00:00,No-show,5,106,26,17,0,Positive,0.61,Close
L767,New,E767,Email,2023-02-01 23:00:00,Replied,2,73,17,11,9,Positive,0.72,Email
L768,New,E768,Meeting,2023-02-02 00:00:00,Replied,14,3,7,15,7,Neutral,0.88,Wait
L769,Proposal,E769,Meeting,2023-02-02 01:00:00,No-show,9,115,27,12,8,Negative,0.09,Wait
L770,Qualified,E770,Demo,2023-02-02 02:00:00,No-show,7,90,9,19,9,Neutral,0.34,Wait
L771,New,E771,Meeting,2023-02-02 03:00:00,Opened,10,9,25,16,5,Negative,0.4,Close
L772,New,E772,Demo,2023-02-02 04:00:00,Opened,5,106,9,17,4,Neutral,0.91,Close
L773,Proposal,E773,Demo,2023-02-02 05:00:00,Replied,6,51,4,2,1,Positive,0.96,Wait
L774,New,E774,Call,2023-02-02 06:00:00,Replied,0,16,9,9,8,Negative,0.12,Call
L775,Qualified,E775,Meeting,2023-02-02 07:00:00,Opened,2,88,17,0,5,Negative,0.12,Wait
L776,Proposal,E776,Email,2023-02-02 08:00:00,No-show,2,114,20,5,7,Positive,0.93,Email
L777,New,E777,Call,2023-02-02 09:00:00,Replied,1,78,23,2,8,Neutral,0.3,Wait
L778,Proposal,E778,Demo,2023-02-02 10:00:00,No-show,6,3,5,18,8,Negative,0.24,Wait
L779,New,E779,Demo,2023-02-02 11:00:00,Opened,8,98,2,3,7,Positive,0.04,Wait
L780,New,E780,Email,2023-02-02 12:00:00,Replied,3,97,7,19,9,Positive,0.28,Call
L781,New,E781,Demo,2023-02-02 13:00:00,Replied,11,114,29,2,7,Negative,0.69,Wait
L782,Qualified,E782,Meeting,2023-02-02 14:00:00,Opened,4,24,8,7,2,Negative,0.43,Wait
L783,Qualified,E783,Call,2023-02-02 15:00:00,Replied,2,73,4,7,2,Negative,0.52,Close
L784,Proposal,E784,Demo,2023-02-02 16:00:00,Opened,10,13,28,6,1,Positive,0.92,Wait
L785,New,E785,Demo,2023-02-02 17:00:00,Replied,8,2,1,1,0,Neutral,0.11,Email
L786,New,E786,Email,2023-02-02 18:00:00,Opened,13,71,1,5,3,Neutral,0.07,Close
L787,Qualified,E787,Meeting,2023-02-02 19:00:00,Replied,3,112,6,15,1,Negative,0.85,Call
L788,New,E788,Demo,2023-02-02 20:00:00,No-show,4,21,16,9,1,Positive,0.77,Close
L789,Qualified,E789,Email,2023-02-02 21:00:00,No-show,0,19,9,3,4,Positive,0.26,Call
L790,New,E790,Demo,2023-02-02 22:00:00,No-show,10,89,11,12,3,Negative,0.32,Call
L791,Proposal,E791,Email,2023-02-02 23:00:00,Replied,11,47,1,9,0,Positive,0.31,Email
L792,New,E792,Email,2023-02-03 00:00:00,Replied,14,22,9,13,8,Positive,0.65,Wait
L793,New,E793,Meeting,2023-02-03 01:00:00,No-show,12,75,19,8,3,Positive,0.06,Email
L794,Qualified,E794,Demo,2023-02-03 02:00:00,No-show,1,33,0,10,4,Negative,0.49,Close
L795,New,E795,Meeting,2023-02-03 03:00:00,Opened,11,32,3,17,6,Negative,0.13,Call
L796,New,E796,Email,2023-02-03 04:00:00,Opened,12,64,12,10,1,Negative,0.82,Close
L797,Qualified,E797,Call,2023-02-03 05:00:00,Opened,8,85,11,16,7,Neutral,0.38,Call
L798,Proposal,E798,Demo,2023-02-03 06:00:00,No-show,1,39,10,1,1,Neutral,0.53,Close
L799,Proposal,E799,Call,2023-02-03 07:00:00,No-show,4,84,28,2,9,Negative,0.03,Call
L800,Qualified,E800,Demo,2023-02-03 08:00:00,No-show,12,72,9,10,4,Positive,0.06,Email
L801,Qualified,E801,Meeting,2023-02-03 09:00:00,Opened,7,42,14,17,1,Positive,0.68,Call
L802,Qualified,E802,Meeting,2023-02-03 10:00:00,Replied,2,101,4,2,1,Negative,0.77,Wait
L803,Qualified,E803,Meeting,2023-02-03 11:00:00,No-show,5,9,24,14,3,Positive,0.71,Email
L804,Qualified,E804,Meeting,2023-02-03 12:00:00,Replied,3,25,16,10,3,Positive,0.74,Wait
L805,Proposal,E805,Meeting,2023-02-03 13:00:00,Replied,10,89,27,10,7,Neutral,0.1,Close
L806,Proposal,E806,Call,2023-02-03 14:00:00,Replied,6,97,4,19,5,Positive,0.69,Close
L807,Qualified,E807,Meeting,2023-02-03 15:00:00,Opened,9,2,1,10,9,Positive,0.18,Call
L808,New,E808,Email,2023-02-03 16:00:00,Replied,13,19,8,18,7,Negative,0.1,Call
L809,Qualified,E809,Email,2023-02-03 17:00:00,No-show,12,110,5,0,6,Neutral,0.76,Close
L810,New,E810,Call,2023-02-03 18:00:00,Opened,2,20,17,4,9,Neutral,0.89,Email
L811,Qualified,E811,Demo,2023-02-03 19:00:00,No-show,5,106,13,9,3,Positive,0.72,Wait
L812,Qualified,E812,Email,2023-02-03 20:00:00,No-show,14,105,18,9,1,Negative,0.81,Close
L813,Proposal,E813,Demo,2023-02-03 21:00:00,Opened,11,106,13,13,8,Neutral,0.99,Email
L814,New,E814,Call,2023-02-03 22:00:00,No-show,14,93,7,1,1,Neutral,0.13,Wait
L815,New,E815,Demo,2023-02-03 23:00:00,No-show,9,70,16,3,0,Positive,0.97,Call
L816,Proposal,E816,Demo,2023-02-04 00:00:00,Opened,8,17,27,1,7,Neutral,0.6,Email
L817,Proposal,E817,Demo,2023-02-04 01:00:00,No-show,10,89,2,17,9,Negative,0.81,Email
L818,Proposal,E818,Demo,2023-02-04 02:00:00,Replied,9,102,28,12,8,Negative,0.65,Close
L819,Proposal,E819,Call,2023-02-04 03:00:00,No-show,0,68,9,18,0,Neutral,0.57,Wait
L820,New,E820,Email,2023-02-04 04:00:00,Replied,2,94,16,4,6,Negative,0.7,Close
L821,New,E821,Meeting,2023-02-04 05:00:00,No-show,1,84,26,19,1,Negative,0.32,Call
L822,Qualified,E822,Demo,2023-02-04 06:00:00,Opened,7,3,10,1,5,Positive,0.92,Call
L823,Qualified,E823,Email,2023-02-04 07:00:00,Opened,6,87,7,10,4,Neutral,0.12,Wait
L824,Proposal,E824,Email,2023-02-04 08:00:00,No-show,1,51,0,17,0,Neutral,0.32,Wait
L825,Proposal,E825,Call,2023-02-04 09:00:00,Opened,5,82,12,5,1,Positive,0.03,Wait
L826,Proposal,E826,Email,2023-02-04 10:00:00,No-show,14,26,20,9,1,Positive,0.27,Close
L827,Qualified,E827,Call,2023-02-04 11:00:00,Opened,2,56,3,16,9,Positive,0.22,Wait
L828,Qualified,E828,Demo,2023-02-04 12:00:00,Replied,7,100,6,10,9,Positive,0.05,Wait
L829,Qualified,E829,Demo,2023-02-04 13:00:00,No-show,9,64,13,18,5,Negative,0.49,Close
L830,Qualified,E830,Meeting,2023-02-04 14:00:00,Replied,12,8,4,16,0,Negative,0.47,Call
L831,Qualified,E831,Meeting,2023-02-04 15:00:00,Replied,2,81,23,3,3,Positive,0.08,Call
L832,Qualified,E832,Meeting,2023-02-04 16:00:00,No-show,9,95,27,13,9,Neutral,0.26,Email
L833,Qualified,E833,Email,2023-02-04 17:00:00,Replied,13,37,29,19,4,Neutral,0.95,Call
L834,Proposal,E834,Demo,2023-02-04 18:00:00,No-show,8,109,10,3,1,Neutral,0.11,Wait
L835,Proposal,E835,Call,2023-02-04 19:00:00,Replied,0,97,16,13,1,Positive,0.31,Call
L836,Proposal,E836,Meeting,2023-02-04 20:00:00,No-show,4,27,4,3,6,Negative,0.04,Close
L837,Proposal,E837,Call,2023-02-04 21:00:00,No-show,2,45,19,5,6,Negative,0.15,Call
L838,Qualified,E838,Call,2023-02-04 22:00:00,Opened,5,4,2,8,5,Negative,0.7,Call
L839,New,E839,Meeting,2023-02-04 23:00:00,No-show,9,86,4,11,0,Negative,0.37,Email
L840,Qualified,E840,Demo,2023-02-05 00:00:00,No-show,1,90,25,7,2,Neutral,0.45,Email
L841,New,E841,Meeting,2023-02-05 01:00:00,Replied,8,96,14,3,8,Neutral,0.16,Wait
L842,Proposal,E842,Call,2023-02-05 02:00:00,No-show,5,88,18,4,9,Negative,0.68,Close
L843,Qualified,E843,Meeting,2023-02-05 03:00:00,Opened,6,110,15,5,0,Positive,0.75,Wait
L844,Proposal,E844,Call,2023-02-05 04:00:00,Replied,4,99,7,4,1,Negative,0.18,Close
L845,Qualified,E845,Call,2023-02-05 05:00:00,Replied,8,37,12,18,7,Negative,0.04,Close
L846,Proposal,E846,Meeting,2023-02-05 06:00:00,Opened,0,96,15,7,6,Positive,0.08,Email
L847,New,E847,Email,2023-02-05 07:00:00,Replied,4,71,2,8,8,Negative,0.66,Call
L848,New,E848,Meeting,2023-02-05 08:00:00,Replied,10,33,0,14,9,Neutral,0.14,Call
L849,New,E849,Email,2023-02-05 09:00:00,Replied,9,31,8,3,3,Positive,0.49,Email
L850,Qualified,E850,Call,2023-02-05 10:00:00,Replied,10,55,8,8,3,Positive,0.15,Wait
L851,New,E851,Call,2023-02-05 11:00:00,Opened,5,12,21,6,6,Negative,0.17,Call
L852,Qualified,E852,Email,2023-02-05 12:00:00,Opened,6,11,25,7,0,Neutral,0.0,Wait
L853,New,E853,Call,2023-02-05 13:00:00,Replied,11,88,16,14,9,Neutral,0.32,Call
L854,New,E854,Email,2023-02-05 14:00:00,Replied,3,72,23,18,8,Neutral,0.09,Wait
L855,Qualified,E855,Email,2023-02-05 15:00:00,Opened,11,32,1,14,1,Negative,0.39,Close
L856,Qualified,E856,Call,2023-02-05 16:00:00,Opened,12,57,8,4,0,Negative,0.6,Close
L857,New,E857,Demo,2023-02-05 17:00:00,Opened,0,38,29,18,6,Neutral,0.37,Call
L858,Qualified,E858,Email,2023-02-05 18:00:00,Replied,14,60,23,6,5,Negative,0.71,Wait
L859,New,E859,Meeting,2023-02-05 19:00:00,Replied,10,86,18,5,2,Neutral,0.74,Wait
L860,Qualified,E860,Meeting,2023-02-05 20:00:00,No-show,7,98,12,18,0,Negative,0.7,Close
L861,Proposal,E861,Call,2023-02-05 21:00:00,Opened,9,19,4,16,4,Positive,0.94,Wait
L862,Proposal,E862,Demo,2023-02-05 22:00:00,Replied,3,116,8,9,9,Positive,0.24,Email
L863,Proposal,E863,Call,2023-02-05 23:00:00,Opened,2,84,12,18,3,Negative,0.19,Wait
L864,Proposal,E864,Demo,2023-02-06 00:00:00,Replied,11,56,0,10,4,Negative,0.61,Close
L865,Proposal,E865,Email,2023-02-06 01:00:00,Opened,6,14,24,14,0,Neutral,0.59,Email
L866,New,E866,Email,2023-02-06 02:00:00,Replied,11,33,14,9,0,Positive,0.51,Email
L867,Proposal,E867,Email,2023-02-06 03:00:00,No-show,1,10,3,10,4,Neutral,0.0,Wait
L868,Proposal,E868,Email,2023-02-06 04:00:00,No-show,7,80,3,2,5,Negative,0.56,Close
L869,Proposal,E869,Meeting,2023-02-06 05:00:00,Opened,13,64,19,2,4,Neutral,0.93,Close
L870,Proposal,E870,Meeting,2023-02-06 06:00:00,Replied,5,64,9,17,1,Neutral,0.33,Close
L871,Qualified,E871,Call,2023-02-06 07:00:00,Replied,6,62,27,10,8,Negative,0.97,Email
L872,New,E872,Demo,2023-02-06 08:00:00,Opened,13,68,24,19,4,Positive,0.36,Close
L873,Proposal,E873,Email,2023-02-06 09:00:00,Replied,4,91,29,17,4,Neutral,0.14,Email
L874,Proposal,E874,Email,2023-02-06 10:00:00,Opened,8,92,5,14,9,Negative,0.4,Email
L875,Proposal,E875,Demo,2023-02-06 11:00:00,Replied,4,43,26,6,8,Neutral,0.49,Call
L876,New,E876,Demo,2023-02-06 12:00:00,Opened,10,80,23,9,2,Negative,0.63,Wait
L877,Qualified,E877,Call,2023-02-06 13:00:00,Replied,4,59,11,19,4,Negative,0.5,Close
L878,New,E878,Demo,2023-02-06 14:00:00,Opened,2,52,29,9,4,Negative,0.54,Email
L879,Qualified,E879,Email,2023-02-06 15:00:00,Replied,10,97,19,12,1,Positive,0.02,Wait
L880,Proposal,E880,Email,2023-02-06 16:00:00,No-show,0,112,15,14,3,Positive,0.25,Email
L881,Proposal,E881,Email,2023-02-06 17:00:00,Replied,1,19,2,17,1,Negative,0.31,Wait
L882,New,E882,Email,2023-02-06 18:00:00,Opened,7,21,13,3,4,Positive,0.99,Email
L883,New,E883,Email,2023-02-06 19:00:00,No-show,14,22,0,19,9,Neutral,0.3,Close
L884,Qualified,E884,Call,2023-02-06 20:00:00,Replied,0,9,9,16,1,Positive,0.9,Call
L885,Qualified,E885,Email,2023-02-06 21:00:00,No-show,6,9,14,2,9,Positive,0.3,Call
L886,New,E886,Call,2023-02-06 22:00:00,Replied,13,73,6,1,8,Neutral,0.1,Call
L887,Qualified,E887,Email,2023-02-06 23:00:00,No-show,13,27,3,3,9,Neutral,0.25,Email
L888,New,E888,Meeting,2023-02-07 00:00:00,Opened,4,17,13,0,5,Neutral,0.27,Wait
L889,Qualified,E889,Meeting,2023-02-07 01:00:00,Replied,2,44,23,14,7,Negative,0.98,Close
L890,New,E890,Meeting,2023-02-07 02:00:00,Replied,11,45,15,0,8,Neutral,0.67,Close
L891,New,E891,Meeting,2023-02-07 03:00:00,Opened,11,8,13,5,7,Neutral,0.93,Email
L892,New,E892,Call,2023-02-07 04:00:00,No-show,14,80,2,6,4,Neutral,0.83,Call
L893,Qualified,E893,Call,2023-02-07 05:00:00,Opened,10,18,16,18,4,Negative,0.58,Email
L894,Qualified,E894,Demo,2023-02-07 06:00:00,Opened,6,33,20,11,5,Positive,0.68,Wait
L895,Qualified,E895,Email,2023-02-07 07:00:00,No-show,8,1,13,0,0,Negative,0.62,Call
L896,New,E896,Meeting,2023-02-07 08:00:00,Opened,1,76,17,6,7,Positive,0.67,Email
L897,Qualified,E897,Call,2023-02-07 09:00:00,Replied,7,6,2,18,1,Neutral,0.26,Wait
L898,Qualified,E898,Email,2023-02-07 10:00:00,Replied,8,41,29,12,5,Negative,0.41,Call
L899,New,E899,Email,2023-02-07 11:00:00,Replied,10,55,21,11,8,Negative,0.59,Close
L900,Proposal,E900,Call,2023-02-07 12:00:00,Opened,2,5,18,11,2,Positive,0.04,Wait
L901,New,E901,Meeting,2023-02-07 13:00:00,Replied,1,59,2,12,1,Negative,0.48,Close
L902,Qualified,E902,Demo,2023-02-07 14:00:00,Replied,6,80,11,13,9,Negative,0.86,Wait
L903,New,E903,Email,2023-02-07 15:00:00,Replied,4,18,21,11,4,Positive,0.49,Call
L904,Proposal,E904,Demo,2023-02-07 16:00:00,Replied,4,49,4,19,8,Negative,0.55,Email
L905,New,E905,Meeting,2023-02-07 17:00:00,Replied,9,82,9,11,5,Negative,0.2,Email
L906,Qualified,E906,Meeting,2023-02-07 18:00:00,Replied,4,65,8,5,7,Neutral,0.79,Email
L907,Proposal,E907,Demo,2023-02-07 19:00:00,Opened,3,83,0,9,7,Neutral,0.36,Email
L908,Qualified,E908,Meeting,2023-02-07 20:00:00,Replied,12,54,12,19,6,Neutral,0.96,Wait
L909,Proposal,E909,Email,2023-02-07 21:00:00,Replied,4,61,2,8,4,Neutral,0.99,Email
L910,Proposal,E910,Demo,2023-02-07 22:00:00,No-show,12,8,18,1,1,Neutral,0.92,Email
L911,New,E911,Meeting,2023-02-07 23:00:00,Opened,3,3,10,6,9,Negative,0.08,Wait
L912,New,E912,Demo,2023-02-08 00:00:00,Opened,14,25,15,8,9,Negative,0.33,Wait
L913,Qualified,E913,Email,2023-02-08 01:00:00,Opened,12,69,5,11,4,Neutral,0.95,Call
L914,New,E914,Meeting,2023-02-08 02:00:00,Opened,5,55,23,4,6,Positive,0.8,Wait
L915,New,E915,Email,2023-02-08 03:00:00,Replied,3,40,2,0,6,Neutral,0.91,Close
